skill_id,domain,layer,category_id,category_name,confidence,source_path,line_start,rule_id,matched_text,declaration_atomic_ids,implementation_atomic_ids
best-practices,Dom-13,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,216,decl.atomic_capability.x3,"@supports (display: grid) {
  .container {
    display: grid;","G1,Q1,R1,R7,S1,S2,S4,X3",
bgpt-paper-search,Dom-3,declaration,tier_3,Tier 3: 环境管控层,medium,SKILL.md,1,decl.atomic_capability.x1,allowed-tools: Bash,"C5,I4,Q1,R8,X1",
blip-2,Dom-8,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,165,decl.atomic_capability.o3,### Batch processing,"A3,A5,G1,O3,O4,Q1,Q2,Q4,R1,R7,R8,R9,X4,X7,X8","G1,G5,Q1,Q2,Q4,R5,S1,W1,W3,X1,X4,X5,X6,X7,X8"
blueprint,,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,32,decl.atomic_capability.x8,"1. **Research** — Pre-flight checks (git, gh auth, remote, default branch), then reads project structure, existing plans, and memory files to gather context.
2. **Design** — Breaks the objective into one-PR-sized steps (3–12 typical). Assigns dependency edges, parallel/serial ordering, model tier (strongest vs default), and rollback strategy per step.","G2,Q1,R8,X8",
bmad-agent-analyst,,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,9,decl.atomic_capability.g1,"You are Mary, the Business Analyst. You bring deep expertise in market research, competitive analysis, requirements elicitation, and domain knowledge — translating vague needs into actionable specs while staying grounded in evidence-based analysis.","G1,R1,R7",G1
bmad-agent-dev,Dom-13,declaration,tier_1,Tier 1: 资源感知层,high,SKILL.md,13,decl.atomic_capability.r7,"- Bare paths (e.g. `references/guide.md`) resolve from the skill root.
- `{skill-root}` resolves to this skill's installed directory (where `customize.toml` lives).","R1,R7",
bmad-create-story,Dom-13,declaration,tier_3,Tier 3: 环境管控层,high,checklist.md,173,decl.atomic_capability.x7,"- **Verbosity problems:** Excessive detail that wastes tokens without adding value
- **Ambiguity issues:** Vague instructions that could lead to multiple interpretations","G1,G3,I3,Q1,Q2,R1,R5,R7,R9,X7,X8","G1,R1,X1,X8"
bmad-technical-research,,declaration,tier_3,Tier 3: 环境管控层,high,technical-steps/step-01-init.md,16,decl.atomic_capability.g1,"- 🎯 Show your analysis before taking any action
- ⚠️ Present [C] continue option after scope confirmation","G1,G3,I3,Q1,W2","A2,C5,G1,G2,I4,Q4,X3,X5,X8"
brand-voice,Dom-2,declaration,tier_3,Tier 3: 环境管控层,medium,SKILL.md,68,decl.atomic_capability.o4,Delete and rewrite any of these:,"I3,O4,Q3,R7,S3",
breakdown-epic-arch,Dom-2,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,16,decl.atomic_capability.x3,"- **Self-hosted and SaaS deployment** requirements.
- **Docker containerization** for all services.
- **TypeScript/Next.js** stack with App Router.","Q1,R1,R7,X3,X8",
brief,Dom-2,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,14,decl.atomic_capability.g1,"Produce a complete, editor-ready content brief covering intent analysis,
competitive SERP review, content outline, E-E-A-T requirements, and SEO targets.","G1,Q1,Q2,Q3,Q4,R7,R8,U1",
brightdata-core-workflow-b,,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,1,decl.atomic_capability.x1,"allowed-tools: Read, Write, Edit, Bash(npm:*), Bash(curl:*), Grep","A4,A5,Q1,Q4,R7,R8,X1,X7,X8",
brightdata-local-search,Dom-3,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,15,decl.atomic_capability.x3,"- [Anthropic API key](https://console.anthropic.com) (for query expansion, optional)
- Docker (recommended) or Node.js 18+ with pnpm","A5,I4,Q1,R8,X3,X4,X7,X8",
browser-qa,Dom-11,declaration,tier_4,Tier 4: 代理协同层,medium,SKILL.md,86,decl.atomic_capability.a5,Pair with `/canary-watch` for post-deploy monitoring.,"A5,Q1,Q3,U1",
browser-use,Dom-11,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,1,decl.atomic_capability.x1,allowed-tools: Bash(browser-use:*),"A5,A7,I4,Q1,Q2,R1,R4,R7,R8,R9,U1,U2,X1,X7,X8","U2,X8"
building-gitops-workflows,Dom-13,declaration,tier_3,Tier 3: 环境管控层,medium,SKILL.md,52,decl.atomic_capability.o4,"| `Application is OutOfSync but not syncing` | Automated sync disabled or sync window closed | Enable `automated:` in syncPolicy or trigger manual sync with `argocd app sync` |
| `Resource already exists and is not managed` | Resource created outside of GitOps | Add the `argocd.argoproj.io/managed-by` annotation or delete the conflicting resource |
| `Sync failed: health check timeout` | Applicati","A4,O4,Q3,R8,X1,X3,X7,X8",
campaign-analytics,Dom-7,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,1,decl.atomic_capability.g1,"description: Analyzes campaign performance with multi-touch attribution, funnel conversion analysis, and ROI calculation for marketing optimization. Use when analyzing marketing campaigns, ad performance, attribution models, conversion rates, or calculating marketing ROI, ROAS, CPA, and campaign metrics across channels.","G1,I7,Q1,Q2,Q3,Q4,R1,R7,X8","A5,G1,Q2,Q3,Q4,R10,R5,X1"
centos-linux-triage,Dom-15,declaration,tier_1,Tier 1: 资源感知层,high,SKILL.md,11,decl.atomic_capability.r1,"- `${input:CentOSVersion}` (optional)
- `${input:ProblemSummary}`",R1,
changelog-collect,Dom-13,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,201,decl.atomic_capability.x7,"| 🐞     | 修复 Bug               |
| 💄     | 样式更新或 token 更新  |
| 🆕     | 新增特性 / 新增属性    |","G3,Q1,Q2,Q3,R1,R7,R8,X7,X8",
chart-visualization,Dom-12,declaration,tier_3,Tier 3: 环境管控层,medium,SKILL.md,31,decl.atomic_capability.g1,"- `generate_network_graph`: Complex node-edge relationships.
    - `generate_fishbone_diagram`: Cause-effect analysis.
    - `generate_flow_diagram`: Process flow.","G1,I3,Q2,R1,R7,R8","R1,W1"
chat-ui,Dom-13,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,1,decl.atomic_capability.x1,"description: ""Chat UI building blocks for React/Next.js from ui.inference.sh. Components: container, messages, input, typing indicators, avatars. Capabilities: chat interfaces, message lists, input handling, streaming. Use for: building custom chat UIs, messaging interfaces, AI assistants. Triggers: chat ui, chat component, message list, chat input, shadcn chat,  react chat, chat interface, messag","Q1,R1,R7,X1,X3,X7",
chrome-devtools,Dom-13,declaration,tier_1,Tier 1: 资源感知层,high,SKILL.md,42,decl.atomic_capability.r7,"- https://developer.chrome.com/docs/devtools
- https://developer.chrome.com/docs/devtools/ai-assistance","R1,R7,R8,U1,X8",
clade-data-handling,,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,19,decl.atomic_capability.x7,"## Overview
Handle data responsibly when building with Claude — manage the 200K token context window efficiently, implement conversation trimming strategies, redact PII before sending to the API, and configure data retention settings.","Q3,R1,R7,X7",
claude-code-sessions,Dom-6,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,11,decl.atomic_capability.o4,"Claude Code records every session as a JSONL file — messages, tool calls, token counts, diffs, tasks. This plugin reads those files and provides two interfaces. Most operations are read-only; delete and cleanup skills can remove session files when explicitly invoked.","I4,O3,O4,Q1,R1,R3,R8,X7,X8",
cli-anything-inkscape,Dom-12,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,15,decl.atomic_capability.x4,"```bash
pip install cli-anything-inkscape
```","I3,Q1,Q2,R6,X4,X8",
cli-anything-rms,Dom-15,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,26,decl.atomic_capability.o4,"- `devices update <device_id> [--name NAME] [--tag TAG]` — Update device
- `devices delete <device_id>` — Delete device","O4,Q1,Q3,R8,R9,W2,X4,X7,X8",
clickhouse-performance-tuning,Dom-13,declaration,tier_4,Tier 4: 代理协同层,medium,SKILL.md,114,decl.atomic_capability.a4,"ALTER TABLE analytics.events
    ADD PROJECTION events_by_hour (
        SELECT","A3,A4,G1,Q1,Q2,Q3,R7",
clickup-core-workflow-b,Dom-14,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,29,decl.atomic_capability.o4,"PUT    /api/v2/space/{space_id}               Update Space
DELETE /api/v2/space/{space_id}               Delete Space
```","O4,Q1,Q3,R7,X1,X8",
clinical-decision-support,Dom-7,declaration,tier_3,Tier 3: 环境管控层,medium,SKILL.md,1,decl.atomic_capability.x1,"allowed-tools: [Read, Write, Edit, Bash]","G1,Q2,Q4,R7,X1","A2,A5,G1,G2,I4,Q1,Q2,Q3,Q4,R1,R10,R5,R9,U2,X1,X6,X7"
clip,Dom-8,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,169,decl.atomic_capability.o3,## Batch processing,"O3,Q1,Q4,R8,X4,X8","G5,Q4,R5"
clustering-algorithm-runner,Dom-13,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,1,decl.atomic_capability.g1,"description: |
  This skill enables Claude to execute clustering algorithms on datasets. It is used when the user requests to perform clustering, identify groups within data, or analyze data structure. The skill supports algorithms like K-means, DBSCAN, and hierarchical clustering. Claude should use this skill when the user explicitly asks to ""run clustering,"" ""perform a cluster analysis,"" or ""gro","G1,I3,Q2",
coderabbit-cost-tuning,Dom-7,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,1,decl.atomic_capability.x1,"allowed-tools: Read, Grep, Bash(gh:*)","A5,G1,I3,Q1,Q2,R1,R7,R8,X1,X8",
coderabbit-incident-runbook,,declaration,tier_3,Tier 3: 环境管控层,medium,SKILL.md,61,decl.atomic_capability.o4,"echo ""--- Option A: Remove Required Check ---""
echo ""gh api repos/$OWNER/$REPO/branches/main/protection --method DELETE""
echo ""(This removes ALL branch protection. Re-apply after incident.)""","G2,O4,Q2,Q4,R7,R8,X1,X2,X8",
cohere-data-handling,,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,221,decl.atomic_capability.o4,"|------|-----------|--------|
| API request logs (redacted) | 30 days | Auto-delete |
| Audit entries | 7 years | Archive to cold storage |","O4,Q3,Q4,R1,R7",
cohere-webhooks-events,Dom-16,declaration,tier_3,Tier 3: 环境管控层,medium,SKILL.md,244,decl.atomic_capability.o4,"model: 'command-a-03-2025',
  messages: [{ role: 'user', content: 'How do I reset my password?' }],
  connectors: [{ id: connector.connector.id }],","A4,C5,I2,O4,Q1,R7,R8,X1,X7,X8",
commit-helper,,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,1,decl.atomic_capability.x8,description: Help create git commits and PRs with properly formatted messages and release notes following CockroachDB conventions. Use when committing changes or creating pull requests.,"Q1,R7,X8",
composio-search-automation,Dom-16,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,77,decl.atomic_capability.x7,"- **Session reuse**: Reuse session IDs within a workflow. Generate new ones for new workflows
- **Pagination**: Check responses for pagination tokens and continue fetching until complete","I4,O3,Q1,R1,R7,X7",
computer-use-agents,Dom-11,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,221,decl.atomic_capability.x1,"- keyboard: Type text, press keys
- bash: Run shell commands
- text_editor: View and edit files","A5,C3,Q1,R1,R7,U1,U2,X1,X3,X7,X8",
computer-vision-processor,Dom-8,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,1,decl.atomic_capability.g1,"description: |
  This skill enables Claude to process and analyze images using computer vision techniques. It's used to perform tasks such as object detection, image classification, and image segmentation. Use this skill when a user requests analysis of an image, asks for identification of objects within an image, or needs help with other computer vision related tasks. Trigger terms include ""analy","G1,Q1,Q4,R1",
configure-notifications,Dom-10,declaration,tier_3,Tier 3: 环境管控层,medium,SKILL.md,1095,decl.atomic_capability.o4,"**Step 3: Method**
Ask for HTTP method (GET, POST, PUT, PATCH, DELETE). Default: POST.","A4,A5,C2,I4,O4,Q1,Q2,R1,R8,X1,X7,X8",
connect,Dom-17,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,55,decl.atomic_capability.x4,"```bash
pip install composio          # Python
npm install @composio/core    # TypeScript","C3,G2,I3,I4,Q1,Q3,R7,R8,X4,X7",
content-gap-analysis,,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,1,decl.atomic_capability.x1,"compatibility: ""Claude Code ≥1.0, skills.sh marketplace, ClawHub marketplace, Vercel Labs skills ecosystem. No system packages required. Optional: MCP network access for SEO tool integrations.""","A5,G1,G2,I4,Q1,Q3,Q4,R1,R7,R8,X1,X5","A5,G1,G2,Q3,Q4,W3"
content-production,Dom-2,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,53,decl.atomic_capability.g1,### Step 1 — Competitive Content Analysis,"A4,G1,G2,I3,Q1,Q2,Q3,Q4,R1,R7,R8","G1,G2,K4,Q2,Q3,Q4,R10,R5,R8"
conversion-tools-automation,Dom-16,declaration,tier_3,Tier 3: 环境管控层,medium,SKILL.md,77,decl.atomic_capability.x7,"- **Session reuse**: Reuse session IDs within a workflow. Generate new ones for new workflows
- **Pagination**: Check responses for pagination tokens and continue fetching until complete","I4,O3,Q1,R1,R7,X7",
copywriting,Dom-2,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,68,decl.atomic_capability.g2,"Follow these core principles. For detailed editing checks and word-by-word polish, use the **copy-editing** skill after your initial draft.","G2,I3,Q1,Q3,Q4,R1,R8,U1",
creating-webhook-handlers,Dom-16,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,1,decl.atomic_capability.x1,"allowed-tools: Read, Write, Edit, Grep, Glob, Bash(api:webhook-*)","A4,A7,I3,Q1,R7,R8,X1,X7","A4,A7,I4,X7,X8"
cursor-hello-world,Dom-13,declaration,tier_3,Tier 3: 环境管控层,medium,SKILL.md,1,decl.atomic_capability.x1,"allowed-tools: ""Read, Write, Edit, Bash(cmd:*)""","G5,I4,Q2,Q3,R1,R7,X1,X4",O4
cursor-keybindings,Dom-13,declaration,tier_3,Tier 3: 环境管控层,medium,SKILL.md,25,decl.atomic_capability.g5,"| **Inline Edit** | `Cmd+K` | `Ctrl+K` | Edit selected code with AI |
| **Composer** | `Cmd+I` | `Ctrl+I` | Multi-file AI editing |
| **Full Composer** | `Cmd+Shift+I` | `Ctrl+Shift+I` | Expanded composer view |","G5,O4,Q1,Q2,R7,U4,X1",O4
cursor-prod-checklist,,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,1,decl.atomic_capability.x1,"allowed-tools: ""Read, Write, Edit, Bash(cmd:*)""","A3,G2,G5,I4,Q1,Q3,Q4,R1,R5,R7,X1,X7,X8",X8
customer-persona,,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,1,decl.atomic_capability.x1,allowed-tools: Bash(infsh *),"A3,A5,G1,Q1,Q3,Q4,R1,R7,R8,X1,X8",
customerio-debug-bundle,,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,1,decl.atomic_capability.x1,"allowed-tools: Read, Grep, Bash(curl:*), Bash(npx:*)","I4,Q1,Q3,R4,U1,X1,X3,X7,X8","G1,I4,Q3,U1,X7,X8"
dashboard-layout-planner,,declaration,tier_3,Tier 3: 环境管控层,medium,SKILL.md,1,decl.atomic_capability.x1,"allowed-tools: ""Read, Write, Edit, Bash(cmd:*), Grep""","G1,X1",
data-analysis,Dom-7,declaration,tier_3,Tier 3: 环境管控层,medium,SKILL.md,104,decl.atomic_capability.g5,"- **CSV files**: Table name is the filename without extension (e.g., `data.csv` → `data`)
- **Multiple files**: All tables from all files are available in the same query context, enabling cross-file joins
- **Special characters**: Sheet/file names with spaces or special characters are auto-sanitized (spaces → underscores). Use double quotes for names that start with numbers or contain special char","G1,G5,Q1,Q2,Q4,R1,R4","G1,G3,R10,R5,X1,X6,X8"
data-analyst,Dom-7,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,1,decl.atomic_capability.g1,"description: |
  SQL, pandas, and statistical analysis expertise for data exploration and insights.
  Use when: analyzing data, writing SQL queries, using pandas, performing statistical analysis,","G1,Q1",
data-quality-auditor,Dom-7,declaration,tier_4,Tier 4: 代理协同层,high,SKILL.md,33,decl.atomic_capability.a5,"2. Define thresholds: acceptable null %, outlier rate, value domain
3. Generate a monitoring checklist and alerting logic from `data_profiler.py --monitor`
4. Schedule checks at ingestion cadence","A5,G1,Q1,Q4,R1,R7,R9","A2,A5,G1,Q2,Q4,R10,R5,U2,X1"
database-health-monitor,Dom-16,declaration,tier_4,Tier 4: 代理协同层,high,SKILL.md,1,decl.atomic_capability.a5,"description: |
  This skill enables Claude to monitor database health using real-time metrics, predictive alerts, and automated remediation. It's designed for production-grade database health monitoring for PostgreSQL and MySQL, detecting performance degradation, resource exhaustion, and replication issues. Use this skill when the user requests to monitor database health, check database performanc","A4,A5,Q1",
datacommons-client,Dom-7,declaration,tier_3,Tier 3: 环境管控层,medium,references/getting_started.md,293,decl.atomic_capability.o3,## Example 8: Batch Processing Multiple Queries,"G1,I3,I4,O3,Q1,Q2,R1,R7,R8,S4,X4,X7","A2,G1,I4,R1,S4,U2,W1,X1,X4"
datanalysis-credit-risk,Dom-7,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,1,decl.atomic_capability.g1,name: datanalysis-credit-risk,"G1,Q1,R1,R7,R8","A5,G1,Q2,Q4,R10,U2,X1"
